Specimen properties : Specimen label,"claire_dogbone"
Specimen properties : Width,"19.24000",mm
Specimen properties : Thickness,"0.84700",mm
Specimen properties : Length,"107.21000",mm
Test : Rate 1,"50.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00","0.000","1.8"
"0.25","0.202","2.6"
"0.50","0.416","3.0"
"0.75","0.626","3.4"
"1.00","0.834","3.7"
"1.25","1.044","4.1"
"1.50","1.251","4.4"
"1.75","1.459","4.7"
"2.00","1.668","5.0"
"2.25","1.876","5.4"
"2.50","2.085","5.7"
"2.75","2.293","6.0"
"3.00","2.501","6.3"
"3.25","2.710","6.7"
"3.50","2.918","7.0"
"3.75","3.126","7.3"
"4.00","3.335","7.6"
"4.25","3.543","8.0"
"4.50","3.751","8.3"
"4.75","3.960","8.7"
"5.00","4.168","9.0"
"5.25","4.377","9.4"
"5.50","4.585","9.7"
"5.75","4.793","10.0"
"6.00","5.001","10.4"
"6.25","5.210","10.7"
"6.50","5.418","11.1"
"6.75","5.626","11.5"
"7.00","5.835","11.8"
"7.25","6.043","12.2"
"7.50","6.251","12.6"
"7.75","6.460","12.9"
"8.00","6.668","13.3"
"8.25","6.876","13.7"
"8.50","7.085","14.1"
"8.75","7.293","14.5"
"9.00","7.501","14.9"
"9.25","7.710","15.3"
"9.50","7.918","15.7"
"9.75","8.126","16.1"
"10.00","8.335","16.5"
"10.25","8.543","17.0"
"10.50","8.751","17.4"
"10.75","8.959","17.8"
"11.00","9.167","18.3"
"11.25","9.376","18.7"
"11.50","9.585","19.1"
"11.75","9.793","19.6"
"12.00","10.001","20.1"
"12.25","10.210","20.6"
"12.50","10.419","21.0"
"12.75","10.626","21.5"
"13.00","10.834","22.0"
"13.25","11.043","22.5"
"13.50","11.251","23.0"
"13.75","11.460","23.5"
"14.00","11.668","24.0"
"14.25","11.877","24.5"
"14.50","12.085","25.0"
"14.75","12.293","25.5"
"15.00","12.501","26.1"
"15.25","12.710","26.6"
"15.50","12.918","27.1"
"15.75","13.126","27.7"
"16.00","13.335","28.2"
"16.25","13.543","28.8"
"16.50","13.752","29.4"
"16.75","13.960","29.9"
"17.00","14.168","30.5"
"17.25","14.376","31.1"
"17.50","14.585","31.6"
"17.75","14.793","32.3"
"18.00","15.001","32.8"
"18.25","15.210","33.5"
"18.50","15.418","34.1"
"18.75","15.626","34.7"
"19.00","15.834","35.3"
"19.25","16.043","35.9"
"19.50","16.252","36.6"
"19.75","16.460","37.2"
"20.00","16.668","37.9"
"20.25","16.877","38.5"
"20.50","17.085","39.2"
"20.75","17.293","39.8"
"21.00","17.501","40.5"
"21.25","17.710","41.2"
"21.50","17.918","41.9"
"21.75","18.126","42.6"
"22.00","18.335","43.2"
"22.25","18.543","43.9"
"22.50","18.751","44.6"
"22.75","18.960","45.4"
"23.00","19.168","46.1"
"23.25","19.376","46.8"
"23.50","19.585","47.5"
"23.75","19.793","48.3"
"24.00","20.001","49.0"
"24.25","20.210","49.8"
"24.50","20.418","50.5"
"24.75","20.626","51.3"
"25.00","20.834","52.0"
"25.25","21.043","52.8"
"25.50","21.251","53.6"
"25.75","21.460","54.4"
"26.00","21.668","55.2"
"26.25","21.877","56.0"
"26.50","22.085","56.8"
"26.75","22.293","57.6"
"27.00","22.501","58.4"
"27.25","22.710","59.2"
"27.50","22.918","60.1"
"27.75","23.126","60.9"
"28.00","23.334","61.8"
"28.25","23.543","62.6"
"28.50","23.751","63.4"
"28.75","23.960","64.3"
"29.00","24.168","65.2"
"29.25","24.376","66.1"
"29.50","24.585","66.9"
"29.75","24.793","67.8"
"30.00","25.001","68.7"
"30.25","25.210","69.6"
"30.50","25.418","70.5"
"30.75","25.626","71.5"
"31.00","25.834","72.4"
"31.25","26.043","73.3"
"31.50","26.251","74.2"
"31.75","26.460","75.2"
"32.00","26.668","76.1"
"32.25","26.876","77.1"
"32.50","27.085","78.0"
"32.75","27.293","79.0"
"33.00","27.501","79.9"
"33.25","27.710","80.9"
"33.50","27.918","81.9"
"33.75","28.126","82.9"
"34.00","28.334","83.9"
"34.25","28.543","84.9"
"34.50","28.752","85.9"
"34.75","28.960","86.9"
"35.00","29.168","87.9"
"35.25","29.377","88.9"
"35.50","29.585","89.9"
"35.75","29.793","90.9"
"36.00","30.001","92.0"
"36.25","30.210","93.0"
"36.50","30.418","94.1"
"36.75","30.626","95.1"
"37.00","30.834","96.2"
"37.25","31.043","97.3"
"37.50","31.251","98.3"
"37.75","31.460","99.4"
"38.00","31.668","100.5"
"38.25","31.877","101.5"
"38.50","32.085","102.6"
"38.75","32.293","103.7"
"39.00","32.501","104.8"
"39.25","32.710","105.9"
"39.50","32.918","107.0"
"39.75","33.126","108.1"
"40.00","33.335","109.2"
