Specimen properties : Specimen label,"Eliana Bone "
Specimen properties : Width,"17.08000",mm
Specimen properties : Thickness,"0.96000",mm
Specimen properties : Length,"109.93000",mm
Test : Rate 1,"50.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00","0.000","1.7"
"0.25","0.199","2.4"
"0.50","0.415","2.8"
"0.75","0.626","3.1"
"1.00","0.835","3.4"
"1.25","1.043","3.6"
"1.50","1.251","3.9"
"1.75","1.459","4.1"
"2.00","1.669","4.4"
"2.25","1.877","4.6"
"2.50","2.084","4.8"
"2.75","2.293","5.1"
"3.00","2.501","5.4"
"3.25","2.710","5.6"
"3.50","2.918","5.8"
"3.75","3.126","6.1"
"4.00","3.335","6.4"
"4.25","3.544","6.6"
"4.50","3.751","6.8"
"4.75","3.960","7.1"
"5.00","4.168","7.4"
"5.25","4.377","7.6"
"5.50","4.585","7.9"
"5.75","4.793","8.2"
"6.00","5.002","8.4"
"6.25","5.210","8.7"
"6.50","5.418","9.0"
"6.75","5.626","9.2"
"7.00","5.835","9.5"
"7.25","6.043","9.8"
"7.50","6.251","10.1"
"7.75","6.460","10.4"
"8.00","6.668","10.7"
"8.25","6.877","11.0"
"8.50","7.085","11.3"
"8.75","7.293","11.6"
"9.00","7.502","11.9"
"9.25","7.710","12.2"
"9.50","7.918","12.5"
"9.75","8.126","12.8"
"10.00","8.335","13.2"
"10.25","8.544","13.5"
"10.50","8.751","13.8"
"10.75","8.960","14.2"
"11.00","9.169","14.5"
"11.25","9.377","14.8"
"11.50","9.585","15.2"
"11.75","9.793","15.5"
"12.00","10.002","15.9"
"12.25","10.210","16.3"
"12.50","10.418","16.6"
"12.75","10.627","17.0"
"13.00","10.835","17.4"
"13.25","11.043","17.8"
"13.50","11.251","18.2"
"13.75","11.459","18.6"
"14.00","11.668","19.0"
"14.25","11.877","19.4"
"14.50","12.085","19.8"
"14.75","12.293","20.2"
"15.00","12.502","20.6"
"15.25","12.710","21.1"
"15.50","12.918","21.5"
"15.75","13.126","21.9"
"16.00","13.335","22.4"
