Specimen properties : Specimen label,"Leather"
Specimen properties : Width,"37.69000",mm
Specimen properties : Thickness,"0.96000",mm
Specimen properties : Length,"105.31000",mm
Test : Rate 1,"50.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00","0.433","1.9"
"0.25","0.631","2.6"
"0.50","0.849","3.1"
"0.75","1.060","3.5"
"1.00","1.269","3.9"
"1.25","1.477","4.3"
"1.50","1.685","4.7"
"1.75","1.894","5.0"
"2.00","2.102","5.4"
"2.25","2.311","5.8"
"2.50","2.519","6.1"
"2.75","2.727","6.5"
"3.00","2.935","6.9"
"3.25","3.144","7.3"
"3.50","3.352","7.7"
"3.75","3.560","8.1"
"4.00","3.769","8.5"
"4.25","3.977","8.9"
"4.50","4.185","9.4"
"4.75","4.394","9.8"
"5.00","4.602","10.2"
"5.25","4.810","10.7"
"5.50","5.018","11.1"
"5.75","5.227","11.5"
"6.00","5.436","12.0"
"6.25","5.644","12.4"
"6.50","5.852","12.9"
"6.75","6.060","13.3"
"7.00","6.269","13.8"
"7.25","6.477","14.3"
"7.50","6.686","14.8"
"7.75","6.894","15.2"
"8.00","7.102","15.7"
"8.25","7.310","16.2"
"8.50","7.519","16.7"
"8.75","7.727","17.3"
"9.00","7.935","17.8"
"9.25","8.144","18.3"
"9.50","8.352","18.9"
"9.75","8.560","19.4"
"10.00","8.769","20.0"
"10.25","8.977","20.6"
"10.50","9.185","21.1"
"10.75","9.393","21.7"
"11.00","9.602","22.4"
"11.25","9.811","22.9"
"11.50","10.019","23.6"
"11.75","10.227","24.2"
"12.00","10.435","24.9"
"12.25","10.644","25.5"
"12.50","10.852","26.2"
"12.75","11.060","26.9"
"13.00","11.269","27.6"
"13.25","11.477","28.2"
"13.50","11.685","29.0"
"13.75","11.894","29.7"
"14.00","12.102","30.4"
"14.25","12.310","31.1"
"14.50","12.519","31.9"
"14.75","12.727","32.7"
"15.00","12.936","33.4"
"15.25","13.143","34.2"
"15.50","13.352","35.0"
"15.75","13.560","35.8"
"16.00","13.769","36.6"
"16.25","13.977","37.4"
"16.50","14.185","38.2"
"16.75","14.394","39.1"
"17.00","14.602","39.9"
"17.25","14.810","40.7"
"17.50","15.019","41.6"
"17.75","15.227","42.5"
"18.00","15.436","43.3"
"18.25","15.644","44.2"
"18.50","15.852","45.1"
"18.75","16.060","46.0"
"19.00","16.269","46.9"
"19.25","16.477","47.8"
"19.50","16.685","48.7"
"19.75","16.894","49.6"
"20.00","17.102","50.6"
"20.25","17.310","51.5"
"20.50","17.519","52.4"
"20.75","17.727","53.4"
"21.00","17.936","54.3"
"21.25","18.144","55.3"
"21.50","18.352","56.3"
"21.75","18.560","57.2"
"22.00","18.769","58.2"
"22.25","18.977","59.2"
"22.50","19.185","60.2"
"22.75","19.394","61.3"
"23.00","19.602","62.3"
"23.25","19.810","63.3"
"23.50","20.019","64.3"
