Specimen properties : Specimen label,"emily_rectangle"
Specimen properties : Width,"40.48000",mm
Specimen properties : Thickness,"0.93900",mm
Specimen properties : Length,"108.49000",mm
Test : Rate 1,"50.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00","0.000","2.0"
"0.25","0.199","2.8"
"0.50","0.415","3.5"
"0.75","0.626","4.1"
"1.00","0.835","4.7"
"1.25","1.042","5.2"
"1.50","1.251","5.7"
"1.75","1.460","6.3"
"2.00","1.669","6.8"
"2.25","1.876","7.3"
"2.50","2.085","7.8"
"2.75","2.293","8.3"
"3.00","2.502","8.8"
"3.25","2.709","9.3"
"3.50","2.918","9.8"
"3.75","3.127","10.3"
"4.00","3.335","10.8"
"4.25","3.542","11.3"
"4.50","3.751","11.8"
"4.75","3.960","12.3"
"5.00","4.168","12.9"
"5.25","4.376","13.4"
"5.50","4.585","14.0"
"5.75","4.793","14.5"
"6.00","5.001","15.0"
"6.25","5.209","15.6"
"6.50","5.418","16.2"
"6.75","5.626","16.8"
"7.00","5.835","17.4"
"7.25","6.043","18.0"
"7.50","6.251","18.6"
"7.75","6.459","19.2"
"8.00","6.668","19.9"
"8.25","6.876","20.5"
"8.50","7.084","21.2"
"8.75","7.293","21.9"
"9.00","7.502","22.6"
"9.25","7.709","23.3"
"9.50","7.918","24.0"
"9.75","8.126","24.7"
"10.00","8.335","25.5"
"10.25","8.542","26.2"
"10.50","8.751","27.0"
"10.75","8.960","27.8"
"11.00","9.168","28.6"
"11.25","9.376","29.4"
"11.50","9.584","30.2"
"11.75","9.793","31.1"
"12.00","10.001","31.9"
"12.25","10.209","32.8"
"12.50","10.418","33.7"
"12.75","10.626","34.6"
"13.00","10.835","35.5"
"13.25","11.042","36.4"
"13.50","11.251","37.3"
"13.75","11.460","38.3"
"14.00","11.668","39.2"
"14.25","11.876","40.1"
"14.50","12.084","41.1"
"14.75","12.293","42.1"
"15.00","12.501","43.0"
"15.25","12.709","44.0"
"15.50","12.918","45.0"
"15.75","13.126","46.0"
"16.00","13.335","47.0"
"16.25","13.543","48.0"
"16.50","13.751","49.1"
"16.75","13.960","50.1"
"17.00","14.168","51.2"
"17.25","14.376","52.2"
"17.50","14.584","53.3"
"17.75","14.793","54.3"
"18.00","15.002","55.4"
"18.25","15.209","56.5"
"18.50","15.418","57.6"
"18.75","15.626","58.7"
"19.00","15.835","59.8"
"19.25","16.042","60.9"
"19.50","16.251","62.0"
"19.75","16.460","63.2"
"20.00","16.668","64.3"
"20.25","16.876","65.4"
"20.50","17.084","66.6"
"20.75","17.293","67.7"
"21.00","17.501","68.9"
"21.25","17.709","70.1"
"21.50","17.918","71.3"
