Specimen properties : Specimen label,Luis Dogbone,
Specimen properties : Width,15.95,mm
Specimen properties : Thickness,0.879,mm
Specimen properties : Length,105.11,mm
Test : Rate 1,50,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
0,-0.001,1.8
0.25,0.197,2.4
0.5,0.415,2.8
0.75,0.625,3
1,0.835,3.3
1.25,1.043,3.5
1.5,1.251,3.8
1.75,1.459,4
2,1.667,4.3
2.25,1.876,4.5
2.5,2.085,4.8
2.75,2.293,5
3,2.501,5.3
3.25,2.709,5.5
3.5,2.917,5.8
3.75,3.126,6.1
4,3.334,6.3
4.25,3.543,6.6
4.5,3.751,6.9
4.75,3.96,7.2
5,4.167,7.5
5.25,4.376,7.8
5.5,4.585,8.1
5.75,4.793,8.4
6,5.001,8.7
6.25,5.209,9
6.5,5.418,9.3
6.75,5.626,9.7
7,5.834,10
7.25,6.043,10.3
7.5,6.251,10.6
7.75,6.46,11
8,6.668,11.3
8.25,6.876,11.6
8.5,7.084,12
8.75,7.293,12.3
9,7.501,12.6
9.25,7.709,13
9.5,7.917,13.3
9.75,8.126,13.7
10,8.335,14
10.25,8.542,14.4
10.5,8.751,14.7
10.75,8.96,15.1
11,9.167,15.4
11.25,9.376,15.8
11.5,9.585,16.2
11.75,9.793,16.6
12,10.001,17
12.25,10.209,17.4
12.5,10.418,17.7
12.75,10.627,18.1
13,10.834,18.5
13.25,11.043,19
13.5,11.251,19.4
13.75,11.46,19.8
14,11.667,20.2
14.25,11.876,20.7
14.5,12.085,21.1
14.75,12.293,21.5
15,12.501,22
15.25,12.71,22.4
15.5,12.918,22.8
15.75,13.126,23.3
16,13.335,23.7
16.25,13.543,24.2
16.5,13.751,24.7
16.75,13.959,25.2
17,14.168,25.7
17.25,14.376,26.2
17.5,14.584,26.6
17.75,14.793,27.1
18,15.001,27.6
18.25,15.209,28.1
18.5,15.418,28.6
18.75,15.626,29.1
19,15.835,29.6
19.25,16.042,30.2
19.5,16.251,30.7
19.75,16.46,31.2
20,16.667,31.8
20.25,16.876,32.3
20.5,17.084,32.9
20.75,17.293,33.4
21,17.501,34
21.25,17.709,34.5
21.5,17.918,35.1
21.75,18.126,35.7
22,18.334,36.2
22.25,18.543,36.8
22.5,18.751,37.4
22.75,18.96,38
23,19.168,38.6
23.25,19.376,39.2
23.5,19.584,39.8
23.75,19.793,40.4
24,20.001,41
24.25,20.209,41.6
24.5,20.418,42.3
24.75,20.627,42.9
25,20.835,43.6
25.25,21.043,44.2
25.5,21.251,44.9
25.75,21.46,45.5
26,21.668,46.2
26.25,21.876,46.8
26.5,22.084,47.5
26.75,22.293,48.1
27,22.501,48.8
27.25,22.709,49.5
27.5,22.918,50.2
27.75,23.126,50.9
28,23.335,51.6
28.25,23.542,52.3
28.5,23.751,53
28.75,23.96,53.7
29,24.168,54.5
29.25,24.376,55.2
29.5,24.585,55.9
29.75,24.793,56.7
30,25.001,57.4
30.25,25.209,58.1
30.5,25.417,58.9
30.75,25.626,59.7
31,25.835,60.4
31.25,26.043,61.2
31.5,26.251,62
31.75,26.46,62.8
32,26.668,63.5
32.25,26.876,64.3
32.5,27.084,65.1
32.75,27.293,65.9
33,27.501,66.7
33.25,27.709,67.5
33.5,27.918,68.4
33.75,28.126,69.2
34,28.335,70
34.25,28.543,70.9
34.5,28.751,71.7
34.75,28.96,72.5
35,29.168,73.4
35.25,29.376,74.2
35.5,29.584,75.1
35.75,29.793,75.9
36,30.001,76.8
36.25,30.21,77.6
36.5,30.418,78.5
36.75,30.626,79.4
37,30.834,80.2
37.25,31.043,81.1
37.5,31.251,82
37.75,31.46,82.9
38,31.667,83.8
38.25,31.876,84.7
38.5,32.085,85.6
38.75,32.293,86.5
39,32.501,87.4
39.25,32.709,88.4
39.5,32.918,89.3
39.75,33.126,90.2
40,33.334,91.1
40.25,33.543,92.1
40.5,33.751,93
