Specimen properties : Specimen label,Sammy Dogbone,
Specimen properties : Width,15.64,mm
Specimen properties : Thickness,1.45,mm
Specimen properties : Length,108.64,mm
Test : Rate 1,50,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
0,0,1.9
0.25,0.198,2.3
0.5,0.416,2.5
0.75,0.627,2.7
1,0.835,2.9
1.25,1.043,3.1
1.5,1.252,3.3
1.75,1.461,3.5
2,1.669,3.6
2.25,1.877,3.9
2.5,2.085,4.1
2.75,2.294,4.3
3,2.502,4.5
3.25,2.711,4.8
3.5,2.919,5.1
3.75,3.127,5.3
4,3.336,5.6
4.25,3.544,5.9
4.5,3.752,6.2
4.75,3.961,6.6
5,4.169,6.9
5.25,4.377,7.3
5.5,4.585,7.7
5.75,4.794,8
6,5.002,8.5
6.25,5.21,8.9
6.5,5.418,9.4
6.75,5.627,9.8
7,5.836,10.3
7.25,6.044,10.8
7.5,6.252,11.3
7.75,6.46,11.9
8,6.668,12.4
8.25,6.877,13
8.5,7.085,13.6
8.75,7.294,14.2
9,7.502,14.8
9.25,7.71,15.5
9.5,7.919,16.2
9.75,8.127,16.8
10,8.335,17.5
10.25,8.544,18.3
10.5,8.752,19
10.75,8.961,19.8
11,9.169,20.5
11.25,9.377,21.3
11.5,9.585,22.1
11.75,9.794,22.9
12,10.002,23.7
12.25,10.21,24.6
12.5,10.419,25.4
12.75,10.627,26.3
13,10.836,27.2
13.25,11.043,28.1
13.5,11.252,29
13.75,11.461,29.9
14,11.669,30.8
14.25,11.877,31.7
14.5,12.085,32.7
14.75,12.294,33.7
15,12.502,34.6
15.25,12.71,35.5
15.5,12.919,36.5
15.75,13.127,37.5
16,13.335,38.6
16.25,13.544,39.6
16.5,13.752,40.6
16.75,13.961,41.6
17,14.169,42.7
17.25,14.377,43.7
17.5,14.585,44.8
17.75,14.794,45.9
18,15.002,46.9
18.25,15.21,48
18.5,15.419,49.1
18.75,15.627,50.3
19,15.835,51.4
19.25,16.044,52.5
19.5,16.252,53.7
19.75,16.461,54.8
20,16.669,56
20.25,16.877,57.2
20.5,17.085,58.3
20.75,17.294,59.5
21,17.502,60.7
21.25,17.71,61.9
21.5,17.919,63.2
21.75,18.127,64.4
22,18.336,65.7
22.25,18.544,66.9
22.5,18.752,68.2
22.75,18.961,69.5
23,19.169,70.8
23.25,19.377,72.1
23.5,19.585,73.5
23.75,19.794,74.8
24,20.002,76.2
24.25,20.21,77.5
24.5,20.419,79
24.75,20.628,80.4
25,20.835,81.8
25.25,21.043,83.2
25.5,21.252,84.7
25.75,21.461,86.1
26,21.669,87.6
26.25,21.877,89.2
