Specimen properties : Specimen label,Rectangular Leather 1 - Sammy,
Specimen properties : Width,18,mm
Specimen properties : Thickness,0.823,mm
Specimen properties : Length,114.7,mm
Test : Rate 1,50,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
0,0,1.7
0.25,0.198,2.2
0.5,0.415,2.5
0.75,0.626,2.7
1,0.835,2.8
1.25,1.043,3
1.5,1.251,3.2
1.75,1.46,3.3
2,1.668,3.4
2.25,1.877,3.6
2.5,2.085,3.7
2.75,2.293,3.9
3,2.502,4
3.25,2.71,4.1
3.5,2.918,4.3
3.75,3.126,4.4
4,3.335,4.5
4.25,3.543,4.7
4.5,3.751,4.8
4.75,3.96,5
5,4.169,5.1
5.25,4.376,5.3
5.5,4.585,5.4
5.75,4.793,5.6
6,5.001,5.8
6.25,5.21,5.9
6.5,5.418,6.1
6.75,5.626,6.3
7,5.835,6.4
7.25,6.043,6.6
7.5,6.251,6.8
7.75,6.46,7
8,6.668,7.2
8.25,6.877,7.4
8.5,7.085,7.6
8.75,7.293,7.8
9,7.501,8
9.25,7.71,8.1
9.5,7.918,8.4
9.75,8.126,8.6
10,8.335,8.8
10.25,8.543,9
10.5,8.751,9.2
10.75,8.96,9.5
11,9.169,9.7
11.25,9.376,10
11.5,9.585,10.2
11.75,9.793,10.5
12,10.001,10.7
12.25,10.21,11
12.5,10.418,11.3
12.75,10.626,11.5
13,10.835,11.8
13.25,11.043,12.1
13.5,11.251,12.4
13.75,11.46,12.7
14,11.669,13
14.25,11.877,13.3
14.5,12.085,13.7
14.75,12.293,14
15,12.502,14.3
15.25,12.71,14.6
15.5,12.918,15
15.75,13.126,15.3
16,13.335,15.7
16.25,13.543,16.1
16.5,13.751,16.4
16.75,13.96,16.8
17,14.168,17.2
17.25,14.376,17.6
17.5,14.585,18
17.75,14.793,18.4
18,15.002,18.8
18.25,15.21,19.2
18.5,15.418,19.6
18.75,15.626,20.1
19,15.835,20.5
19.25,16.043,20.9
19.5,16.251,21.4
19.75,16.46,21.9
20,16.668,22.3
20.25,16.876,22.8
20.5,17.085,23.2
20.75,17.293,23.7
21,17.501,24.2
21.25,17.71,24.7
21.5,17.918,25.2
21.75,18.126,25.7
22,18.335,26.2
22.25,18.543,26.7
22.5,18.751,27.2
22.75,18.96,27.7
23,19.169,28.3
23.25,19.377,28.8
23.5,19.584,29.3
23.75,19.793,29.9
24,20.002,30.4
24.25,20.21,31
24.5,20.418,31.5
24.75,20.626,32.1
25,20.835,32.7
